ano;periodo;estudante;disciplina;ch;tipo;anp;aulas;faltas;justificadas;percentual;nb1;nb2;ms1;nr1;mr1;nb3;nb4;ms2;nr2;mr2;ma;nef;mf;resultado;resultado_ano;situacao_atual
2013;3;0F9BEF6C;SOCIOLOGIA;40;RG;-;40;1;-;2,5;60;73;67;-;67;85;90;88;-;88;78;-;78;AP;Aprovado;Concluído
2014;4;0F9BEF6C;AUTOMAÇÃO INDUSTRIAL;80;RG;-;83;13;-;15,7;60;50;55;-;55;80;75;78;-;78;67;-;67;AP;Aprovado;Concluído
2014;4;0F9BEF6C;ELETROTÉCNICA;80;RG;-;82;12;-;14,6;65;80;73;-;73;60;65;63;-;63;68;-;68;AP;Aprovado;Concluído
2014;4;0F9BEF6C;EMPREENDEDORISMO;40;RG;-;41;4;-;9,8;65;58;62;-;62;60;45;53;90;72;67;-;67;AP;Aprovado;Concluído
2014;4;0F9BEF6C;ENSAIOS DE MATERIAIS;80;RG;-;80;9;-;11,2;81;42;62;-;62;69;72;71;-;71;67;-;67;AP;Aprovado;Concluído
2014;4;0F9BEF6C;FILOSOFIA;40;RG;-;40;5;-;12,5;65;90;78;-;78;65;80;73;-;73;76;-;76;AP;Aprovado;Concluído
2014;4;0F9BEF6C;INSTALAÇÃO E MANUTENÇÃO INDUSTRIAL;80;RG;-;82;-;-;0;65;83;74;-;74;83;58;71;-;71;73;-;73;AP;Aprovado;Concluído
2014;4;0F9BEF6C;LÍNGUA ESTRANGEIRA MODERNA: ESPANHOL;40;RG;-;40;10;-;25;60;80;70;-;70;60;73;67;-;67;69;-;69;AP;Aprovado;Concluído
2014;4;0F9BEF6C;LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA;80;RG;-;80;-;-;0;48;54;51;53;52;88;58;73;-;73;63;-;63;AP;Aprovado;Concluído
2014;4;0F9BEF6C;MATEMÁTICA;80;RG;-;82;10;-;12,2;-;72;36;-;36;64;57;61;-;61;49;-;66;AP;Aprovado;Concluído
2014;4;0F9BEF6C;METALOGRAFIA;40;RG;-;40;-;-;0;60;64;62;-;62;72;83;78;-;78;70;-;70;AP;Aprovado;Concluído
2014;4;0F9BEF6C;MÁQUINAS ELÉTRICAS;80;RG;-;80;5;-;6,2;65;75;70;-;70;85;73;79;-;79;75;-;75;AP;Aprovado;Concluído
2014;4;0F9BEF6C;MÁQUINAS HIDRAÚLICAS;80;RG;-;80;17;-;21,2;68;74;71;-;71;62;48;55;-;55;63;-;64;AP;Aprovado;Concluído
2014;4;0F9BEF6C;MÁQUINAS TÉRMICAS;80;RG;-;80;8;-;10;60;60;60;-;60;67;54;61;-;61;61;-;61;AP;Aprovado;Concluído
